code,haul
DME,LH
YUL,LH
YYZ,LH
YVR,LH
YYC,LH
MEX,LH
ATL,LH
AUS,LH
BNA,LH
BOS,LH
BWI,LH
ORD,LH
DEN,LH
DFW,LH
IAH,LH
LAS,LH
LAX,LH
MIA,LH
MSY,LH
EWR,LH
JFK,LH
PHL,LH
PHX,LH
SAN,LH
SEA,LH
SFO,LH
SJC,LH
IAD,LH
LAD,LH
CAI,LH
ACC,LH
NBO,LH
ABV,LH
LOS,LH
SEZ,LH
CPT,LH
JNB,LH
AUH,LH
DXB,LH
BAH,LH
TLV,LH
IKA,LH
AMM,LH
KWI,LH
BEY,LH
MCT,LH
DOH,LH
JED,LH
RUH,LH
BLR,LH
BOM,LH
DEL,LH
HYD,LH
MAA,LH
NAS,LH
GCM,LH
EZE,LH
GIG,LH
GRU,LH
SCL,LH
PEK,LH
PVG,LH
HKG,LH
HND,LH
NRT,LH
ICN,LH
SYD,LH
KUL,LH
SIN,LH
BKK,LH
MCO,LH
BGI,LH
BDA,LH
TPA,LH
MRU,LH
ANU,LH
UVF,LH
KIN,LH
POS,LH
CUN,LH
SJO,LH
PUJ,LH
LIM,LH
FLL,LH
MLE,LH
OAK,LH
CPT,LH
GND,LH
SKB,LH
YYZ,LH
PLS,LH
TAB,LH
BHD,SH
ABZ,SH
EDI,SH
INV,SH
MAN,SH
SOF,SH
SPU,SH
BUD,SH
WAW,SH
LED,SH
BLL,SH
TLL,SH
KEF,SH
GOT,SH
LCA,SH
ATH,SH
JMK,SH
KLX,SH
BDS,SH
LIN,SH
OLB,SH
PSA,SH
TRN,SH
IST,SH
BRU,SH
GVA,SH
TXL,SH
FRA,SH
HAM,SH
STR,SH
IBZ,SH
MAD,SH
PMI,SH
MRS,SH
NTE,SH
TLS,SH
LUX,SH
LIS,SH
GLA,SH
GIB,SH
FCO,SH
VCE,SH
SZG,SH
BCN,SH
MAH,SH
TFS,SH
NCE,SH
FAO,SH
