Out-OriginStation,Out-DestinationStation,Out-Departure,Out-Arrival,Out-Duration,Out-JourneyMode,Out-Stops,Out-Carriers,Out-OperatingCarriers,Out-Directionality,Out-FlightNumbers,Inb-OriginStation,Inb-DestinationStation,Inb-Departure,Inb-Arrival,Inb-Duration,Inb-JourneyMode,Inb-Stops,Inb-Carriers,Inb-OperatingCarriers,Inb-Directionality,Inb-FlightNumbers,cheapestPrice,haul,index,query_Locale,query_Currency,query_Adults,query_CabinClass,query_Timestamp,query_DateType
LHR,DME,2019-11-10T21:35:00,2019-11-11T04:20:00,225,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '237', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",287.26,LH,0,en-GB,GBP,1,economy,2019-10-11 08:30:45,date
LHR,DME,2019-11-10T08:40:00,2019-11-10T15:20:00,220,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '233', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",287.26,LH,1,en-GB,GBP,1,economy,2019-10-11 08:30:45,date
LHR,DME,2019-11-10T21:35:00,2019-11-11T04:20:00,225,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '237', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['S7 Airlines'],['British Airways'],Inbound,"[{'FlightNumber': '4003', 'CarrierId': 1687}]",445.72,LH,2,en-GB,GBP,1,economy,2019-10-11 08:30:45,date
LHR,DME,2019-11-10T08:40:00,2019-11-10T15:20:00,220,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '233', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['S7 Airlines'],['British Airways'],Inbound,"[{'FlightNumber': '4003', 'CarrierId': 1687}]",445.72,LH,3,en-GB,GBP,1,economy,2019-10-11 08:30:45,date
LHR,DME,2020-02-15T08:40:00,2020-02-15T15:20:00,220,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '233', 'CarrierId': 881}]",DME,LHR,2020-02-15T16:40:00,2020-02-15T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",380.59,LH,0,en-GB,GBP,1,economy,2019-10-11 08:30:45,date + 90 days
LHR,DME,2019-11-10T21:35:00,2019-11-11T04:20:00,225,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '237', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",364.7,LH,0,en-US,USD,1,economy,2019-10-11 08:30:49,date
LHR,DME,2019-11-10T08:40:00,2019-11-10T15:20:00,220,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '233', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",364.7,LH,1,en-US,USD,1,economy,2019-10-11 08:30:49,date
LHR,DME,2019-11-10T21:35:00,2019-11-11T04:20:00,225,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '237', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['S7 Airlines'],['British Airways'],Inbound,"[{'FlightNumber': '4003', 'CarrierId': 1687}]",585.03,LH,2,en-US,USD,1,economy,2019-10-11 08:30:49,date
LHR,DME,2019-11-10T08:40:00,2019-11-10T15:20:00,220,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '233', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['S7 Airlines'],['British Airways'],Inbound,"[{'FlightNumber': '4003', 'CarrierId': 1687}]",585.03,LH,3,en-US,USD,1,economy,2019-10-11 08:30:49,date
LHR,DME,2020-02-15T08:40:00,2020-02-15T15:20:00,220,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '233', 'CarrierId': 881}]",DME,LHR,2020-02-15T16:40:00,2020-02-15T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",865.7,LH,0,en-US,USD,1,economy,2019-10-11 08:30:50,date + 90 days
LHR,DME,2019-11-10T21:35:00,2019-11-11T04:20:00,225,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '237', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",1262.11,LH,0,en-GB,GBP,1,business,2019-10-11 08:30:51,date
LHR,DME,2019-11-10T08:40:00,2019-11-10T15:20:00,220,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '233', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",1262.11,LH,1,en-GB,GBP,1,business,2019-10-11 08:30:51,date
LHR,DME,2020-02-15T08:40:00,2020-02-15T15:20:00,220,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '233', 'CarrierId': 881}]",DME,LHR,2020-02-15T16:40:00,2020-02-15T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",1111.41,LH,0,en-GB,GBP,1,business,2019-10-11 08:30:52,date + 90 days
LHR,DME,2019-11-10T21:35:00,2019-11-11T04:20:00,225,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '237', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",1659.59,LH,0,en-US,USD,1,business,2019-10-11 08:30:54,date
LHR,DME,2019-11-10T08:40:00,2019-11-10T15:20:00,220,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '233', 'CarrierId': 881}]",DME,LHR,2019-11-17T16:40:00,2019-11-17T17:45:00,245,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '232', 'CarrierId': 881}]",1659.59,LH,1,en-US,USD,1,business,2019-10-11 08:30:54,date
LHR,YUL,2019-11-10T13:00:00,2019-11-10T15:30:00,450,Flight,[],['Air Canada'],['Air Canada'],Outbound,"[{'FlightNumber': '865', 'CarrierId': 835}]",YUL,LHR,2019-11-17T21:40:00,2019-11-18T09:20:00,400,Flight,[],['Air Canada'],['Air Canada'],Inbound,"[{'FlightNumber': '864', 'CarrierId': 835}]",502.14,LH,0,en-GB,GBP,1,economy,2019-10-11 08:30:59,date
LHR,YUL,2019-11-10T13:00:00,2019-11-10T15:30:00,450,Flight,[],['Lufthansa'],['Air Canada'],Outbound,"[{'FlightNumber': '6838', 'CarrierId': 1368}]",YUL,LHR,2019-11-17T21:40:00,2019-11-18T09:20:00,400,Flight,[],['Lufthansa'],['Air Canada'],Inbound,"[{'FlightNumber': '6839', 'CarrierId': 1368}]",526.62,LH,1,en-GB,GBP,1,economy,2019-10-11 08:30:59,date
LHR,YUL,2019-11-10T16:45:00,2019-11-10T19:10:00,445,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '95', 'CarrierId': 881}]",YUL,LHR,2019-11-17T20:55:00,2019-11-18T08:30:00,395,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '94', 'CarrierId': 881}]",533.01,LH,2,en-GB,GBP,1,economy,2019-10-11 08:30:59,date
LHR,YUL,2019-11-10T16:45:00,2019-11-10T19:10:00,445,Flight,[],['British Airways'],['British Airways'],Outbound,"[{'FlightNumber': '95', 'CarrierId': 881}]",YUL,LHR,2019-11-17T20:55:00,2019-11-18T08:30:00,395,Flight,[],['Finnair'],['British Airways'],Inbound,"[{'FlightNumber': '5994', 'CarrierId': 857}]",533.63,LH,3,en-GB,GBP,1,economy,2019-10-11 08:30:59,date
LHR,YUL,2019-11-10T16:45:00,2019-11-10T19:10:00,445,Flight,[],['Finnair'],['British Airways'],Outbound,"[{'FlightNumber': '5995', 'CarrierId': 857}]",YUL,LHR,2019-11-17T20:55:00,2019-11-18T08:30:00,395,Flight,[],['Finnair'],['British Airways'],Inbound,"[{'FlightNumber': '5994', 'CarrierId': 857}]",551.41,LH,4,en-GB,GBP,1,economy,2019-10-11 08:30:59,date
LHR,YUL,2019-11-10T13:00:00,2019-11-10T15:30:00,450,Flight,[],['Air Canada'],['Air Canada'],Outbound,"[{'FlightNumber': '865', 'CarrierId': 835}]",YUL,LHR,2019-11-17T20:55:00,2019-11-18T08:30:00,395,Flight,[],['British Airways'],['British Airways'],Inbound,"[{'FlightNumber': '94', 'CarrierId': 881}]",3545.47,LH,5,en-GB,GBP,1,economy,2019-10-11 08:30:59,date
